danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.419,0.702,2,-6.982,1,0.0587,0.728,0.0,0.728,0.575,93.225,audio_features,5rrQVPDt0mapp7sSuQHN1s,spotify:track:5rrQVPDt0mapp7sSuQHN1s,https://api.spotify.com/v1/tracks/5rrQVPDt0mapp7sSuQHN1s,https://api.spotify.com/v1/audio-analysis/5rrQVPDt0mapp7sSuQHN1s,289000,4
0.682,0.201,1,-16.707,0,0.0573,0.859,0.256,0.0929,0.499,144.523,audio_features,5TUmfePkCdoSYSavOykhau,spotify:track:5TUmfePkCdoSYSavOykhau,https://api.spotify.com/v1/tracks/5TUmfePkCdoSYSavOykhau,https://api.spotify.com/v1/audio-analysis/5TUmfePkCdoSYSavOykhau,187093,4
0.703,0.188,4,-16.071,1,0.0906,0.82,1.21e-05,0.338,0.54,81.712,audio_features,7eRhMBRHhmRA7VvWLVIMyO,spotify:track:7eRhMBRHhmRA7VvWLVIMyO,https://api.spotify.com/v1/tracks/7eRhMBRHhmRA7VvWLVIMyO,https://api.spotify.com/v1/audio-analysis/7eRhMBRHhmRA7VvWLVIMyO,100284,4
0.452,0.545,10,-10.014,1,0.0399,0.369,0.0441,0.715,0.642,140.822,audio_features,05ysSyVvvSMqS6gxUPBOco,spotify:track:05ysSyVvvSMqS6gxUPBOco,https://api.spotify.com/v1/tracks/05ysSyVvvSMqS6gxUPBOco,https://api.spotify.com/v1/audio-analysis/05ysSyVvvSMqS6gxUPBOco,204400,3
0.692,0.4,6,-11.305,0,0.034,0.483,1.94e-06,0.34,0.524,108.955,audio_features,2bzz9J3YFV5EmXMfMRAwqW,spotify:track:2bzz9J3YFV5EmXMfMRAwqW,https://api.spotify.com/v1/tracks/2bzz9J3YFV5EmXMfMRAwqW,https://api.spotify.com/v1/audio-analysis/2bzz9J3YFV5EmXMfMRAwqW,171668,4
0.526,0.252,5,-9.801,1,0.0556,0.972,0.0017,0.155,0.312,105.469,audio_features,5JG0NigCZCt81My5Yizv1E,spotify:track:5JG0NigCZCt81My5Yizv1E,https://api.spotify.com/v1/tracks/5JG0NigCZCt81My5Yizv1E,https://api.spotify.com/v1/audio-analysis/5JG0NigCZCt81My5Yizv1E,169973,4
0.483,0.386,9,-10.062,1,0.0285,0.736,0.0,0.115,0.483,80.074,audio_features,1de5qtvROLxLtMAQrmZjev,spotify:track:1de5qtvROLxLtMAQrmZjev,https://api.spotify.com/v1/tracks/1de5qtvROLxLtMAQrmZjev,https://api.spotify.com/v1/audio-analysis/1de5qtvROLxLtMAQrmZjev,190960,4
0.453,0.526,7,-9.759,1,0.055,0.525,4.1e-05,0.202,0.479,157.413,audio_features,3UNfU0eZuTQFbsvmaOiJPH,spotify:track:3UNfU0eZuTQFbsvmaOiJPH,https://api.spotify.com/v1/tracks/3UNfU0eZuTQFbsvmaOiJPH,https://api.spotify.com/v1/audio-analysis/3UNfU0eZuTQFbsvmaOiJPH,146827,4
0.684,0.026,4,-22.863,1,0.0405,0.928,5.93e-05,0.125,0.367,123.245,audio_features,0YPurGQSRUDTtIFUX3Nskc,spotify:track:0YPurGQSRUDTtIFUX3Nskc,https://api.spotify.com/v1/tracks/0YPurGQSRUDTtIFUX3Nskc,https://api.spotify.com/v1/audio-analysis/0YPurGQSRUDTtIFUX3Nskc,321640,4
0.542,0.289,7,-9.712,1,0.0351,0.812,4.27e-05,0.126,0.188,104.986,audio_features,5zfWoufXTAXICVcxgR5fYO,spotify:track:5zfWoufXTAXICVcxgR5fYO,https://api.spotify.com/v1/tracks/5zfWoufXTAXICVcxgR5fYO,https://api.spotify.com/v1/audio-analysis/5zfWoufXTAXICVcxgR5fYO,112231,4
0.633,0.861,10,-6.654,0,0.0888,0.158,8.65e-06,0.0681,0.508,128.425,audio_features,290rUsOclQPPHHBACyViGT,spotify:track:290rUsOclQPPHHBACyViGT,https://api.spotify.com/v1/tracks/290rUsOclQPPHHBACyViGT,https://api.spotify.com/v1/audio-analysis/290rUsOclQPPHHBACyViGT,210427,4
0.468,0.612,8,-8.168,1,0.0382,0.61,1.23e-06,0.0672,0.767,128.693,audio_features,1nl13AcSpiCKdbkhtvJoo7,spotify:track:1nl13AcSpiCKdbkhtvJoo7,https://api.spotify.com/v1/tracks/1nl13AcSpiCKdbkhtvJoo7,https://api.spotify.com/v1/audio-analysis/1nl13AcSpiCKdbkhtvJoo7,184467,4
0.539,0.825,0,-4.021,1,0.0479,0.0105,1.43e-05,0.0693,0.465,125.06,audio_features,349flwjNbqIaE0Mph3jLGD,spotify:track:349flwjNbqIaE0Mph3jLGD,https://api.spotify.com/v1/tracks/349flwjNbqIaE0Mph3jLGD,https://api.spotify.com/v1/audio-analysis/349flwjNbqIaE0Mph3jLGD,233733,4
0.331,0.668,6,-8.768,0,0.0656,0.0108,3.13e-06,0.177,0.478,93.357,audio_features,4cZGdje7UXxBsJViy2Cs8Z,spotify:track:4cZGdje7UXxBsJViy2Cs8Z,https://api.spotify.com/v1/tracks/4cZGdje7UXxBsJViy2Cs8Z,https://api.spotify.com/v1/audio-analysis/4cZGdje7UXxBsJViy2Cs8Z,284040,4
0.541,0.334,7,-18.603,1,0.0564,0.418,0.0,0.067,0.606,101.622,audio_features,6lCcA1ugWuQPBCHXecSwc8,spotify:track:6lCcA1ugWuQPBCHXecSwc8,https://api.spotify.com/v1/tracks/6lCcA1ugWuQPBCHXecSwc8,https://api.spotify.com/v1/audio-analysis/6lCcA1ugWuQPBCHXecSwc8,294360,4
0.634,0.391,7,-9.512,1,0.0274,0.0773,0.0,0.207,0.179,129.829,audio_features,0x2C3lTa6qfceRMAUuFHQU,spotify:track:0x2C3lTa6qfceRMAUuFHQU,https://api.spotify.com/v1/tracks/0x2C3lTa6qfceRMAUuFHQU,https://api.spotify.com/v1/audio-analysis/0x2C3lTa6qfceRMAUuFHQU,218517,4
0.774,0.647,1,-6.682,0,0.0514,0.47,0.000569,0.46,0.965,95.098,audio_features,2BvDFQOl4JieEGK2cgKOey,spotify:track:2BvDFQOl4JieEGK2cgKOey,https://api.spotify.com/v1/tracks/2BvDFQOl4JieEGK2cgKOey,https://api.spotify.com/v1/audio-analysis/2BvDFQOl4JieEGK2cgKOey,200960,4
0.738,0.56,2,-9.963,1,0.0482,0.608,0.0045,0.126,0.645,157.946,audio_features,1KlC2yGobg0mBMAIJ3OrX2,spotify:track:1KlC2yGobg0mBMAIJ3OrX2,https://api.spotify.com/v1/tracks/1KlC2yGobg0mBMAIJ3OrX2,https://api.spotify.com/v1/audio-analysis/1KlC2yGobg0mBMAIJ3OrX2,282293,4
0.554,0.333,9,-14.614,1,0.0382,0.624,0.000296,0.116,0.634,120.608,audio_features,0dED0PRBM0fixceBz5s4XR,spotify:track:0dED0PRBM0fixceBz5s4XR,https://api.spotify.com/v1/tracks/0dED0PRBM0fixceBz5s4XR,https://api.spotify.com/v1/audio-analysis/0dED0PRBM0fixceBz5s4XR,330867,4
