,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
278,0.4583333333333333,0.2280521682292624,0.0,0.9226129509502675,0.6329740879706107,0.6363636363636364,0.6318346912731914,1.0,0.10057692307692308,0.007700101317122594,0.00032028836251287335,0.35735550764808544,0.4308093994778067,0.5174346878375873
1783,0.010416666666666666,0.32428712952182526,0.0,0.41845908728803916,0.7369814308890208,0.8181818181818182,0.6871012074212233,1.0,0.025769230769230766,0.2066869300911854,0.00737384140061792,0.22800533826095884,0.5989556135770234,0.683669881936321
2280,0.26041666666666663,0.32500204260882,0.0,0.49812222601570505,0.9669976700355045,0.18181818181818182,0.8558456856778247,1.0,0.11173076923076923,8.429584599797367e-05,0.00019670442842430487,0.3655682168155221,0.14464751958224542,0.5686169226737234
655,0.4270833333333333,0.25235410666503255,0.0,0.42642540116080574,0.37395580127957034,0.4545454545454546,0.4505742613134387,1.0,0.01846153846153846,0.6443768996960487,0.002945417095777549,0.1099476439790576,0.25744125326370754,0.6196265684826867
1213,0.0,0.26283907306411747,0.0,0.5436440195743714,0.902993151316483,0.18181818181818182,0.8193285560027487,0.0,0.04865384615384616,3.353596757852077e-05,0.1874356333676622,0.2475105225336208,0.7566579634464752,0.5046567076405801
838,0.4270833333333333,0.21444839348816308,0.0,0.32969158984864005,0.6039720404260541,1.0,0.6745361735545303,0.0,0.09807692307692308,0.32928064842958465,3.9546858908341915e-05,0.9579098655168874,0.2323759791122715,0.10969630723403706
2624,0.22916666666666666,0.18462247482484628,1.0,0.4378058495504723,0.909993645551376,0.9090909090909092,0.7959654461568667,0.0,0.2461538461538461,0.00014083080040526848,0.029866117404737387,0.17154296273483216,0.15300261096605744,0.6629144533721978
2588,0.23958333333333331,0.25991175929897664,0.0,0.2579947649937408,0.9669976700355045,0.9090909090909092,0.9222538529498381,0.0,0.1423076923076923,6.048632218844985e-06,0.9917610710607622,0.3234780823324095,0.036135770234986944,0.8079915111767375
2350,0.47916666666666663,0.21568927834630386,0.0,0.5698190508706045,0.5849706989313446,0.36363636363636365,0.722833022479631,0.0,0.0059615384615384626,0.0005795339412360689,0.0009546858908341916,0.06169797762036752,0.26475195822454306,0.5370395228872227
1709,0.0,0.26083093326796986,0.0,0.7052463867076364,0.6729769121699992,1.0,0.6944144497889468,0.0,0.04115384615384615,0.1519756838905775,5.3141091658084454e-05,0.29370701160045176,0.4924281984334203,0.4533530212668034
2023,0.35416666666666663,0.24375855342443364,0.0,0.581199499260271,0.8879920922417123,0.9090909090909092,0.7851182880141357,1.0,0.03192307692307693,0.030800405268490375,0.007085478887744593,0.14485165794066318,0.40156657963446474,0.5366879526466848
976,0.40625,0.19615555487468594,0.0,0.4298395356777057,0.6979786772946169,0.6363636363636364,0.6112692647491902,1.0,0.1146153846153846,0.31610942249240126,1.791967044284243e-05,0.1273996509598604,0.4798955613577022,0.24887337718373065
445,0.4375,0.25832873746348833,0.0,0.4150449527711392,0.5669694280416196,0.18181818181818182,0.6829292235201728,1.0,0.022692307692307692,0.3799392097264438,0.0,0.9887075248947748,0.4339425587467362,0.3081225509936653
617,0.4270833333333333,0.15554721490287393,0.0,0.6050984408785707,0.5269666038422313,0.4545454545454546,0.6585844704034555,1.0,0.020576923076923076,0.2573454913880446,0.0,0.09146904835232522,0.5091383812010444,0.5285570918109701
1474,0.0,0.2588393896684846,0.0,0.4571526118129055,0.6549756412802744,0.8181818181818182,0.8279670167861,1.0,0.0051923076923076905,0.08044579533941236,7.2708547888774465e-06,0.0687814392772816,0.35979112271540464,0.7732819401563527
1778,0.0,0.2548728986661764,0.0,0.18174576078297483,0.30695107074559463,0.5454545454545454,0.3714047315205654,1.0,0.019230769230769232,0.4397163120567376,0.0001400617919670443,0.09762858022790269,0.5028720626631854,0.8074993128399843
2517,0.53125,0.21000316604367097,0.0,0.19654034368954137,0.971998023060428,0.0,0.8393540787277904,0.0,0.10365384615384614,4.812563323201621e-06,0.14418125643666324,0.0966019915819731,0.14569190600522194,0.39834186690189904
1244,0.0,0.5144884796862553,0.0,0.6995561625128032,0.9349954106759938,0.0,0.8111318346912733,1.0,0.04134615384615384,0.002887537993920973,0.8043254376930999,0.3429832666050714,0.698172323759791,0.43442575795347765
2995,0.20833333333333331,0.07462926649917274,0.0,0.48105155343120515,0.992999505765107,0.09090909090909091,0.7479630902130168,1.0,0.2,0.00043768996960486325,0.030998970133882597,0.32861102556205735,0.13942558746736292,0.49348955836385605
2552,0.5729166666666666,0.2457832894172437,0.0,0.3604188005007397,0.9489963991457796,0.18181818181818182,0.7318641405713164,1.0,0.22692307692307684,7.862208713272544e-05,0.004418125643666324,0.01663073606405913,0.3399477806788511,0.698237674266976
547,0.4270833333333333,0.17357451436975307,0.0,0.537953795379538,0.0855354388019794,0.8181818181818182,0.16310002944929824,1.0,0.1478846153846154,0.7487335359675785,0.0,0.07596755979878862,0.3075718015665796,0.2725308582788399
2210,0.5208333333333333,0.2532388116101885,0.0,0.15215659496984182,0.9829987997152598,0.09090909090909091,0.6767448709139099,1.0,0.40769230769230763,1.6818642350557247e-05,0.19670442842430486,0.1838620264859871,0.08407310704960834,0.8170939843135749
1623,0.0,0.2508898114672059,0.0,0.6278593376579038,0.8859919510317429,0.4545454545454546,0.8497104152351036,0.0,0.11673076923076921,0.00045592705167173255,0.0,0.24853711117955038,0.3900783289817232,0.4793500425080381
263,0.4583333333333333,0.2228894744367506,0.0,0.6563104586320702,0.8919923746616512,0.18181818181818182,0.8027387847256308,1.0,0.06749999999999999,0.07933130699088146,1.2255406797116375e-05,0.049994867056770365,0.5780678851174934,0.3770942400010227
1397,0.020833333333333332,0.20414853851338932,0.0,0.3979742801866394,0.9009930101065136,0.09090909090909091,0.7891430254245608,0.0,0.03461538461538462,0.07132725430597772,0.0,0.5339287547479725,0.8537859007832898,0.5354222997807481
2353,0.5833333333333333,0.3028576097391588,0.0,0.544782064413338,0.9499964697507643,0.9090909090909092,0.7699518994797292,0.0,0.14019230769230767,0.008115501519756839,0.21112255406797117,0.32039831639462074,0.40678851174934716,0.39369474754060635
1815,0.0,0.2236886451375697,0.0,0.6972800728348698,0.7829846787183176,0.8181818181818182,0.7110533032296065,0.0,0.017499999999999995,0.005379939209726444,0.3367662203913492,0.006775485063135203,0.9968668407310703,0.31428461848236705
