,index,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster_x,PC1,PC2,PCA_EuclidianDist(Xsign),1th_Boundary
949,949,0,172906,False,0.61,0.464,7,-14.887,1,0.0695,0.0378,0.0,0.0298,0.544,93.569,41,0.3588194171615394,0.1726892012633028,0.6328369797553507,1
950,950,39,232453,False,0.485,0.44,9,-8.508,0,0.401,0.601,8.18e-06,0.118,0.52,128.061,75,-0.5815885659302267,0.5763856859813803,-0.6649597251412228,-1
951,951,41,227853,False,0.374,0.16,0,-8.522,1,0.038,0.604,0.0,0.106,0.272,182.072,55,0.5253644189785643,0.2749724344635637,0.8226784438240652,1
952,952,39,218613,False,0.539,0.436,3,-11.625,0,0.0298,0.695,0.00022,0.168,0.455,144.991,61,-0.43999339173729857,0.6680333921857219,-0.6945258108803481,-1
953,953,39,246560,False,0.528,0.702,5,-7.152,1,0.0282,0.48,3.02e-06,0.488,0.561,140.372,31,0.40061401945459874,0.18203969132416156,0.6756012518699658,1
954,954,40,244445,False,0.717,0.822,0,-7.079,1,0.0904,0.0564,3.34e-06,0.182,0.795,119.915,29,0.3967292995616547,-0.008626919795638233,0.6467868355622808,1
955,955,39,185466,False,0.815,0.738,11,-7.723,0,0.368,0.0902,5.34e-05,0.349,0.307,100.038,69,-0.7387878701728856,0.24852587602476092,-0.5483417666766052,-1
956,956,39,176120,False,0.42,0.174,2,-15.309,0,0.137,0.9,0.0,0.376,0.135,172.358,62,-0.3833374555602418,0.732469923203896,-0.7445072635331377,-1
957,957,39,268773,False,0.415,0.415,0,-10.38,0,0.0389,0.453,1.32e-06,0.862,0.0701,141.108,64,-0.4759378152446589,0.3351579797044465,-0.40420139499647423,-1
958,958,40,294493,False,0.391,0.825,11,-5.565,0,0.13,0.161,0.0,0.799,0.659,70.612,66,-0.7072181648692298,0.2801637847556511,-0.5362277469275505,-1
959,959,39,252306,False,0.716,0.494,4,-14.118,1,0.0288,0.62,1.28e-05,0.303,0.805,129.864,51,0.5185776514835482,0.5461490327735474,0.9428628597836739,1
960,960,37,235498,False,0.291,0.206,2,-12.435,1,0.03,0.852,0.000104,0.114,0.337,152.364,54,0.5518638605062488,0.45449047395683206,0.9217088703617269,1
961,961,40,381440,False,0.821,0.588,11,-9.26,0,0.0477,0.0177,0.0434,0.0361,0.933,117.637,69,-0.6536431943042966,0.5533117335609163,-0.6848953955199018,-1
962,962,38,191712,False,0.634,0.73,2,-5.648,1,0.0921,0.26,2.02e-05,0.384,0.378,124.035,38,0.3752119072157051,-0.027214411133991867,0.6258039254412434,1
963,963,40,252520,False,0.795,0.66,4,-6.357,0,0.039,0.259,6.47e-05,0.14,0.872,125.955,74,-0.5282816848065345,0.5269773330883544,-0.5959411092445945,-1
964,964,38,194120,False,0.483,0.362,7,-10.766,1,0.0519,0.505,0.0,0.113,0.678,105.241,50,0.4346118867088863,0.4349564683415016,0.8110983693580037,1
965,965,41,200000,False,0.664,0.676,8,-11.347,0,0.0664,0.549,3.37e-06,0.0861,0.876,95.033,75,-0.527914169374119,0.7361597074549758,-0.7868719085207593,-1
966,966,41,178200,False,0.46,0.613,5,-11.462,1,0.0553,0.715,3.65e-05,0.552,0.751,177.381,31,0.48422818186752725,0.4111339804309008,0.8414999541969393,1
